LineId,EventId,program_pid,Content,Level,Duration,Program,EventTemplate
34,E1629,rtkit-daemon  pid: 1005,Successfully made thread 1200 of process 1189 (n/a) owned by '1000' RT at priority 5.,,,,Successfully made thread <*> of process <*> (n/a) owned by <*> RT at priority <*>.
35,E1125,kernel,Initializing cgroup subsys net_prio,,    0.026805,,Initializing cgroup subsys <*>
36,E1063,kernel,ACPI: IRQ0 used by override.,,    0.000000,,ACPI: IRQ<*> used by override.
37,E1302,kernel,NetLabel:  unlabeled traffic allowed by default,,    0.202524,,NetLabel:  unlabeled traffic allowed by default
38,E1549,NetworkManager  pid: 567,Loaded device plugin: NMAtmManager (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-adsl.so),info,1467290566.6399,,Loaded device plugin: NMVlanFactory (<*>)
39,E1235,kernel,ACPI: Added _OSI(Processor Device),,    0.183577,,ACPI: Added _OSI(Processor Device)
40,E1148,kernel,Normal   empty,,    0.000000,,Normal   empty
41,E1344,kernel,io scheduler cfq registered,,    0.615152,,io scheduler cfq registered
42,E1556,NetworkManager  pid: 585,device (enp0s3): state change: unavailable -> disconnected (reason 'none') [20 30 0],info,1466518840.1790,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
43,E1537,NetworkManager  pid: 572,(31076640) ... get_connections.,info,1466518545.5965,,<*> ... get_connections.
44,E1123,kernel,Hierarchical RCU implementation.,,    0.000000,,Hierarchical RCU implementation.
45,E1679,systemd  pid: 1,Listening on ACPID Listen Socket.,,,,Listening on ACPID Listen Socket.
46,E1125,kernel,Initializing cgroup subsys perf_event,,    0.026804,,Initializing cgroup subsys <*>
47,E1549,NetworkManager  pid: 572,Loaded device plugin: NMEthernetFactory (internal),info,1466518545.7094,,Loaded device plugin: NMVlanFactory (<*>)
48,E1167,kernel,tsc: Detected 2591.966 MHz processor,,    0.000000,,tsc: Detected <*> MHz processor
49,E1400,kernel,Key type dns_resolver registered,,    0.676907,,Key type dns_resolver registered
50,E1592,NetworkManager  pid: 572,nm_device_get_device_type: assertion 'NM_IS_DEVICE (self)' failed,,,,nm_device_get_device_type: assertion 'NM_IS_DEVICE (self)' failed
51,E1483,kernel,work still pending,,    3.911079,,work still pending
52,E1135,kernel,kvm-clock: using sched offset of 3538057311 cycles,,    0.000000,,kvm-clock: using sched offset of <*> cycles
53,E1489,kernel,"audit: type=1400 audit(1466518839.336:4): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=""/sbin/dhclient"" pid=366 comm=""apparmor_parser""",,    4.533097,,"audit: type=1400 audit(<*>): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=<*> pid=<*>> comm=""apparmor_parser"""
54,E1058,kernel,ACPI: Early table checksum verification disabled,,    0.000000,,ACPI: Early table checksum verification disabled
55,E1556,NetworkManager  pid: 572,device (enp0s3): state change: unmanaged -> unavailable (reason 'managed') [10 20 2],info,1466518545.7334,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
56,E1642,systemd  pid: 1,Received SIGRTMIN+21 from PID 324 (plymouthd).,,,,Received <*> from PID <*> (<*>).
57,E1409,kernel,AppArmor: AppArmor sha1 policy hashing enabled,,    0.671867,,AppArmor: AppArmor sha1 policy hashing enabled
58,E1125,kernel,Initializing cgroup subsys cpuset,,    0.000000,,Initializing cgroup subsys <*>
59,E1297,kernel,SCSI subsystem initialized,,    0.205398,,SCSI subsystem initialized
60,E1106,kernel,---[ end trace 4d5ff9f2f68c4233 ]---,,    0.000000,,---[ end trace <*> ]---
61,E1549,NetworkManager  pid: 572,Loaded device plugin: NMMacvlanFactory (internal),info,1466518545.7094,,Loaded device plugin: NMVlanFactory (<*>)
62,E1010,anacron  pid: 545,Will run job `cron.daily' in 5 min.,,,,Will run job <*> in <*> min.
63,E1549,NetworkManager  pid: 572,Loaded device plugin: NMTunFactory (internal),info,1466518545.7094,,Loaded device plugin: NMVlanFactory (<*>)
64,E1630,rtkit-daemon  pid: 1019,Supervising 4 threads of 2 processes of 2 users.,,,,Supervising <*> threads of <*> processes of <*> users.
65,E1216,kernel,devtmpfs: initialized,,    0.181982,,devtmpfs: initialized
66,E1105,kernel,Early memory node ranges,,    0.000000,,Early memory node ranges
67,E1078,kernel,Calgary: detecting Calgary via BIOS EBDA area,,    0.000000,,Calgary: detecting Calgary via BIOS EBDA area
68,E1630,rtkit-daemon  pid: 1005,Supervising 2 threads of 1 processes of 1 users.,,,,Supervising <*> threads of <*> processes of <*> users.
69,E1631,rtkit-daemon  pid: 1005,Watchdog thread running.,,,,Watchdog thread running.
70,E1537,NetworkManager  pid: 567,(29110176) ... get_connections.,info,1467290566.4248,,<*> ... get_connections.
71,E1034,dbus  pid: 536,Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',,,system,Activating via systemd: service name=<*> unit=<*>
72,E1590,NetworkManager  pid: 582,WiFi hardware radio set enabled,info,1467205200.9615,,<*> hardware radio set enabled
73,E1645,systemd  pid: 1,Stopped target Sound Card.,,,,Stopped target <*>
74,E1678,systemd  pid: 1,Reloading OpenBSD Secure Shell server.,,,,Reloading OpenBSD Secure Shell server.
75,E1549,NetworkManager  pid: 567,Loaded device plugin: NMAtmManager (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-adsl.so),info,1467290566.6399,,Loaded device plugin: NMVlanFactory (<*>)
76,E1353,kernel,ACPI: Battery Slot [BAT0] (battery present),,    0.617376,,ACPI: Battery Slot [BAT0] (battery present)
77,E1666,systemd  pid: 1,Mounting FUSE Control File System...,,,,Mounting FUSE Control File System...
78,E1846,lightdm,PAM unable to dlopen(pam_kwallet.so): /lib/security/pam_kwallet.so: cannot open shared object file: No such file or directory,,,,PAM unable to <*> <*> cannot open shared object file: No such file or directory
79,E1064,kernel,ACPI: Local APIC address 0xfee00000,,    0.000000,,ACPI: Local APIC address <*>
80,E1532,NetworkManager  pid: 585,device added (path: /sys/devices/virtual/net/lo  iface: lo): no ifupdown configuration found.,info,1466518839.9479,,device added (path: <*>  iface: <*>): no ifupdown configuration found.
81,E1156,kernel,PM: Registered nosave memory: [mem 0x00000000-0x00000fff],,    0.000000,,PM: Registered nosave memory: [mem <*>-<*>]
82,E1645,systemd  pid: 1045,Stopped target Basic System.,,,,Stopped target <*>
83,E1356,kernel,brd: module loaded,,    0.619526,,brd: module loaded
84,E1549,NetworkManager  pid: 572,Loaded device plugin: NMVxlanFactory (internal),info,1466518545.7093,,Loaded device plugin: NMVlanFactory (<*>)
85,E1628,rtkit-daemon  pid: 1005,Successfully made thread 1189 of process 1189 (n/a) owned by '1000' high priority at nice level -11.,,,,Successfully made thread <*> of process <*> (n/a) owned by <*> high priority at nice level <*>.
86,E1844,lightdm,PAM adding faulty module: pam_kwallet5.so,,,,PAM adding faulty module: <*>
87,E1075,kernel,BRK [0x02201000  0x02201fff] PGTABLE,,    0.000000,,BRK [<*>  <*>] PGTABLE
88,E1353,kernel,ACPI: Battery Slot [BAT0] (battery present),,    0.602855,,ACPI: Battery Slot [BAT0] (battery present)
89,E1854,systemd-logind  pid: 586,New seat seat0.,,,,New seat seat<*>.
90,E1482,kernel,floppy0: no floppy controllers found,,    7.679356,,floppy0: no floppy controllers found
91,E1305,kernel,pnp: PnP ACPI init,,    0.208213,,pnp: PnP ACPI init
92,E1156,kernel,PM: Registered nosave memory: [mem 0x000f0000-0x000fffff],,    0.000000,,PM: Registered nosave memory: [mem <*>-<*>]
93,E1140,kernel,Modules linked in:,,    0.000000,,Modules linked in:
94,E1075,kernel,BRK [0x02201000  0x02201fff] PGTABLE,,    0.000000,,BRK [<*>  <*>] PGTABLE
95,E1549,NetworkManager  pid: 572,Loaded device plugin: NMWifiFactory (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-wifi.so),info,1466518545.7176,,Loaded device plugin: NMVlanFactory (<*>)
96,E1125,kernel,Initializing cgroup subsys io,,    0.025697,,Initializing cgroup subsys <*>
97,E1129,kernel,Intel GenuineIntel,,    0.000000,,Intel GenuineIntel
98,E1228,kernel,cpuidle: using governor ladder,,    0.182443,,cpuidle: using governor <*>
99,E1628,rtkit-daemon  pid: 1005,Successfully made thread 1004 of process 1004 (n/a) owned by '108' high priority at nice level -11.,,,,Successfully made thread <*> of process <*> (n/a) owned by <*> high priority at nice level <*>.
100,E1075,kernel,BRK [0x021ff000  0x021fffff] PGTABLE,,    0.000000,,BRK [<*>  <*>] PGTABLE
101,E1549,NetworkManager  pid: 585,Loaded device plugin: NMVlanFactory (internal),info,1466518840.0800,,Loaded device plugin: NMVlanFactory (<*>)
102,E1589,NetworkManager  pid: 585,manager: startup complete,info,1466518844.9570,,manager: startup complete
103,E1846,lightdm,PAM unable to dlopen(pam_kwallet.so): /lib/security/pam_kwallet.so: cannot open shared object file: No such file or directory,,,,PAM unable to <*> <*> cannot open shared object file: No such file or directory
104,E1161,kernel,RCU restricting CPUs from NR_CPUS=256 to nr_cpu_ids=1.,,    0.000000,,RCU restricting CPUs from NR_CPUS=<*> to nr_cpu_ids=<*>.
105,E1088,kernel,CPUID[0d  09]: eax=00000000 ebx=00000000 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
106,E1125,kernel,Initializing cgroup subsys io,,    0.026564,,Initializing cgroup subsys <*>
107,E1157,kernel,Policy zone: DMA32,,    0.000000,,Policy zone: DMA32
108,E1125,kernel,Initializing cgroup subsys cpuacct,,    0.000000,,Initializing cgroup subsys <*>
109,E1628,rtkit-daemon  pid: 1019,Successfully made thread 1018 of process 1018 (n/a) owned by '108' high priority at nice level -11.,,,,Successfully made thread <*> of process <*> (n/a) owned by <*> high priority at nice level <*>.
110,E1332,kernel,Initialise system trusted keyring,,    0.600434,,Initialise system trusted keyring
111,E1342,kernel,io scheduler noop registered,,    0.602040,,io scheduler noop registered
112,E1549,NetworkManager  pid: 572,Loaded device plugin: NMBluezManager (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-bluetooth.so),info,1466518545.7292,,Loaded device plugin: NMVlanFactory (<*>)
113,E1482,kernel,floppy0: no floppy controllers found,,    7.666743,,floppy0: no floppy controllers found
114,E1846,lightdm,PAM unable to dlopen(pam_kwallet5.so): /lib/security/pam_kwallet5.so: cannot open shared object file: No such file or directory,,,,PAM unable to <*> <*> cannot open shared object file: No such file or directory
115,E1215,kernel,smpboot: Total of 1 processors activated (5183.93 BogoMIPS),,    0.181783,,smpboot: Total of <*> processors activated (<*> BogoMIPS)
116,E1549,NetworkManager  pid: 567,Loaded device plugin: NMInfinibandFactory (internal),info,1467290566.6340,,Loaded device plugin: NMVlanFactory (<*>)
117,E1549,NetworkManager  pid: 572,Loaded device plugin: NMInfinibandFactory (internal),info,1466518545.7094,,Loaded device plugin: NMVlanFactory (<*>)
118,E1534,NetworkManager  pid: 585,end _init.,info,1466518839.9479,,end _init.
119,E1482,kernel,floppy0: no floppy controllers found,,    7.679356,,floppy0: no floppy controllers found
120,E1409,kernel,AppArmor: AppArmor sha1 policy hashing enabled,,    0.671867,,AppArmor: AppArmor sha1 policy hashing enabled
121,E1529,NetworkManager  pid: 572,dns-mgr[0x1da38c0]: using resolv.conf manager 'resolvconf',info,1466518545.4708,,dns-mgr[<*>]: using resolv.conf manager 'resolvconf'
122,E1156,kernel,PM: Registered nosave memory: [mem 0x00000000-0x00000fff],,    0.000000,,PM: Registered nosave memory: [mem <*>-<*>]
123,E1240,kernel,ACPI Exception: AE_NOT_FOUND  While evaluating Sleep State [\_S4_] (20150930/hwxface-580),,    0.186427,,ACPI Exception: AE_NOT_FOUND  While evaluating Sleep State [\_<*>_] (<*>)
124,E1660,systemd  pid: 1,Listening on CUPS Scheduler.,,,,Listening on CUPS Scheduler.
125,E1558,NetworkManager  pid: 582,urfkill disappeared from the bus,info,1467205191.3727,,urfkill disappeared from the bus
126,E1150,kernel,NX (Execute Disable) protection: active,,    0.000000,,NX (Execute Disable) protection: active
127,E1677,systemd  pid: 1,Reloaded OpenBSD Secure Shell server.,,,,Reloaded OpenBSD Secure Shell server.
128,E1125,kernel,Initializing cgroup subsys cpu,,    0.000000,,Initializing cgroup subsys <*>
129,E1156,kernel,PM: Registered nosave memory: [mem 0x0009f000-0x0009ffff],,    0.000000,,PM: Registered nosave memory: [mem <*>-<*>]
130,E1069,kernel,AMD AuthenticAMD,,    0.000000,,AMD AuthenticAMD
131,E1075,kernel,BRK [0x021ff000  0x021fffff] PGTABLE,,    0.000000,,BRK [<*>  <*>] PGTABLE
132,E1549,NetworkManager  pid: 582,Loaded device plugin: NMBondFactory (internal),info,1467205191.2843,,Loaded device plugin: NMVlanFactory (<*>)
133,E1549,NetworkManager  pid: 572,Loaded device plugin: NMAtmManager (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-adsl.so),info,1466518545.7150,,Loaded device plugin: NMVlanFactory (<*>)
134,E1058,kernel,ACPI: Early table checksum verification disabled,,    0.000000,,ACPI: Early table checksum verification disabled
135,E1078,kernel,Calgary: detecting Calgary via BIOS EBDA area,,    0.000000,,Calgary: detecting Calgary via BIOS EBDA area
136,E1088,kernel,CPUID[0d  10]: eax=00000000 ebx=00000000 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
137,E1034,dbus  pid: 557,Activating via systemd: service name='org.freedesktop.RealtimeKit1' unit='rtkit-daemon.service',,,system,Activating via systemd: service name=<*> unit=<*>
138,E1088,kernel,CPUID[0d  01]: eax=00000000 ebx=000003c0 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
139,E1167,kernel,tsc: Detected 2591.970 MHz processor,,    0.000000,,tsc: Detected <*> MHz processor
140,E1141,kernel,Movable zone start for each node,,    0.000000,,Movable zone start for each node
141,E1142,kernel,MTRR default type: uncachable,,    0.000000,,MTRR default type: uncachable
142,E1556,NetworkManager  pid: 567,device (enp0s3): state change: unmanaged -> unavailable (reason 'managed') [10 20 2],info,1467290566.6682,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
143,E1144,kernel,MTRR variable ranges disabled:,,    0.000000,,MTRR variable ranges disabled:
144,E1510,kernel,AES CTR mode by8 optimization enabled,,    6.155511,,AES CTR mode by8 optimization enabled
145,E1349,kernel,ACPI: Power Button [PWRF],,    0.616796,,ACPI: Power Button [PWRF]
146,E1238,kernel,ACPI: Executed 1 blocks of module-level executable AML code,,    0.183962,,ACPI: Executed 1 blocks of module-level executable AML code
147,E1549,NetworkManager  pid: 585,Loaded device plugin: NMWifiFactory (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-wifi.so),info,1466518840.0888,,Loaded device plugin: NMVlanFactory (<*>)
148,E1531,NetworkManager  pid: 572,management mode: unmanaged,info,1466518545.5946,,management mode: unmanaged
149,E1125,kernel,Initializing cgroup subsys pids,,    0.026578,,Initializing cgroup subsys <*>
150,E1156,kernel,PM: Registered nosave memory: [mem 0x00000000-0x00000fff],,    0.000000,,PM: Registered nosave memory: [mem <*>-<*>]
151,E1125,kernel,Initializing cgroup subsys net_cls,,    0.026573,,Initializing cgroup subsys <*>
152,E1125,kernel,Initializing cgroup subsys net_prio,,    0.026805,,Initializing cgroup subsys <*>
153,E1846,lightdm,PAM unable to dlopen(pam_kwallet5.so): /lib/security/pam_kwallet5.so: cannot open shared object file: No such file or directory,,,,PAM unable to <*> <*> cannot open shared object file: No such file or directory
154,E1185,kernel,AppArmor: AppArmor initialized,,    0.026431,,AppArmor: AppArmor initialized
155,E1409,kernel,AppArmor: AppArmor sha1 policy hashing enabled,,    0.689228,,AppArmor: AppArmor sha1 policy hashing enabled
156,E1302,kernel,NetLabel:  unlabeled traffic allowed by default,,    0.203640,,NetLabel:  unlabeled traffic allowed by default
157,E1846,lightdm,PAM unable to dlopen(pam_kwallet5.so): /lib/security/pam_kwallet5.so: cannot open shared object file: No such file or directory,,,,PAM unable to <*> <*> cannot open shared object file: No such file or directory
158,E1537,NetworkManager  pid: 582,(11027664) ... get_connections.,info,1467205191.0686,,<*> ... get_connections.
159,E1556,NetworkManager  pid: 582,device (enp0s3): state change: unavailable -> disconnected (reason 'carrier-changed') [20 30 40],info,1467205191.3930,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
160,E1125,kernel,Initializing cgroup subsys cpuset,,    0.000000,,Initializing cgroup subsys <*>
161,E1527,NetworkManager  pid: 572,monitoring ifupdown state file '/run/network/ifstate'.,info,1466518545.4663,,monitoring ifupdown state file '/run/network/ifstate'.
162,E1157,kernel,Policy zone: DMA32,,    0.000000,,Policy zone: DMA32
163,E1034,dbus  pid: 563,Activating via systemd: service name='org.freedesktop.UDisks2' unit='udisks2.service',,,system,Activating via systemd: service name=<*> unit=<*>
164,E1549,NetworkManager  pid: 585,Loaded device plugin: NMBondFactory (internal),info,1466518840.0801,,Loaded device plugin: NMVlanFactory (<*>)
165,E1607,org.gtk.vfs.Daemon  pid: 2877,A connection to the bus can't be made,,,,A connection to the bus can't be made
166,E1125,kernel,Initializing cgroup subsys io,,    0.026794,,Initializing cgroup subsys <*>
167,E1124,kernel,Hypervisor detected: KVM,,    0.000000,,Hypervisor detected: KVM
168,E1555,NetworkManager  pid: 567,manager: (enp0s3): new Ethernet device (/org/freedesktop/NetworkManager/Devices/0),info,1467290566.6640,,manager: (<*>): new <*> device (<*>)
169,E1088,kernel,CPUID[0d  03]: eax=00000000 ebx=00000000 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
170,E1582,NetworkManager  pid: 567,manager: NetworkManager state is now CONNECTED_LOCAL,info,1467290566.8334,,manager: NetworkManager state is now CONNECTED_LOCAL
171,E1305,kernel,pnp: PnP ACPI init,,    0.210034,,pnp: PnP ACPI init
172,E1854,systemd-logind  pid: 617,New seat seat0.,,,,New seat seat<*>.
173,E1532,NetworkManager  pid: 585,device added (path: /sys/devices/pci0000:00/0000:00:03.0/net/enp0s3  iface: enp0s3): no ifupdown configuration found.,info,1466518839.9478,,device added (path: <*>  iface: <*>): no ifupdown configuration found.
174,E1088,kernel,CPUID[0d  11]: eax=00000000 ebx=00000000 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
175,E1299,kernel,NetLabel: Initializing,,    0.205876,,NetLabel: Initializing
176,E1123,kernel,Hierarchical RCU implementation.,,    0.000000,,Hierarchical RCU implementation.
177,E1185,kernel,AppArmor: AppArmor initialized,,    0.026431,,AppArmor: AppArmor initialized
178,E1006,alsactl  pid: 600,Hardware is initialized using a generic method,,,,Hardware is initialized using a generic method
179,E1549,NetworkManager  pid: 585,Loaded device plugin: NMInfinibandFactory (internal),info,1466518840.0800,,Loaded device plugin: NMVlanFactory (<*>)
180,E1510,kernel,AES CTR mode by8 optimization enabled,,    4.931879,,AES CTR mode by8 optimization enabled
181,E1075,kernel,BRK [0x02202000  0x02202fff] PGTABLE,,    0.000000,,BRK [<*>  <*>] PGTABLE
182,E1076,kernel,Build-time adjustment of leaf fanout to 64.,,    0.000000,,Build-time adjustment of leaf fanout to <*>.
183,E1642,systemd  pid: 1,Received SIGRTMIN+21 from PID 327 (plymouthd).,,,,Received <*> from PID <*> (<*>).
184,E1846,lightdm,PAM unable to dlopen(pam_kwallet.so): /lib/security/pam_kwallet.so: cannot open shared object file: No such file or directory,,,,PAM unable to <*> <*> cannot open shared object file: No such file or directory
185,E1556,NetworkManager  pid: 572,device (enp0s3): state change: disconnected -> prepare (reason 'none') [30 40 0],info,1466518545.7850,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
186,E1489,kernel,"audit: type=1400 audit(1466518544.900:8): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=""/usr/bin/ubuntu-core-launcher"" pid=450 comm=""apparmor_parser""",,    5.080504,,"audit: type=1400 audit(<*>): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=<*> pid=<*>> comm=""apparmor_parser"""
187,E1630,rtkit-daemon  pid: 1005,Supervising 1 threads of 1 processes of 1 users.,,,,Supervising <*> threads of <*> processes of <*> users.
188,E1532,NetworkManager  pid: 572,device added (path: /sys/devices/pci0000:00/0000:00:03.0/net/enp0s3  iface: enp0s3): no ifupdown configuration found.,info,1466518545.5948,,device added (path: <*>  iface: <*>): no ifupdown configuration found.
189,E1541,NetworkManager  pid: 572,SettingsPlugin-Ofono: init!,info,1466518545.5965,,SettingsPlugin-Ofono: init!
190,E1035,dbus  pid: 557,Successfully activated service 'org.freedesktop.hostname1',,,system,Successfully activated service <*>
191,E1624,rtkit-daemon  pid: 1005,Canary thread running.,,,,Canary thread running.
192,E1592,NetworkManager  pid: 582,nm_device_get_device_type: assertion 'NM_IS_DEVICE (self)' failed,,,,nm_device_get_device_type: assertion 'NM_IS_DEVICE (self)' failed
193,E1296,kernel,e820: reserve RAM buffer [mem 0x0009fc00-0x0009ffff],,    0.205780,,e820: reserve RAM buffer [mem <*>]
194,E1426,kernel,Freeing unused kernel memory: 1868K (ffff88000182d000 - ffff880001a00000),,    0.776925,,Freeing unused kernel memory: 1868K (ffff88000182d000 - ffff880001a00000)
195,E1529,NetworkManager  pid: 585,dns-mgr[0x11e50c0]: using resolv.conf manager 'resolvconf',info,1466518839.8237,,dns-mgr[<*>]: using resolv.conf manager 'resolvconf'
196,E1213,kernel,KVM setup paravirtual spinlock,,    0.181112,,KVM setup paravirtual spinlock
197,E1556,NetworkManager  pid: 567,device (enp0s3): state change: unavailable -> disconnected (reason 'none') [20 30 0],info,1467290566.7344,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
198,E1524,NetworkManager  pid: 585,NetworkManager (version 1.2.0) is starting...,info,1466518839.8141,,NetworkManager (version 1.2.0) is starting...
199,E1857,systemd-logind  pid: 617,Watching system buttons on /dev/input/event1 (Sleep Button),,,,Watching system buttons on /dev/input/event<*> (<*> <*>)
200,E1844,lightdm,PAM adding faulty module: pam_kwallet5.so,,,,PAM adding faulty module: <*>
201,E1486,kernel,ppdev: user-space parallel port driver,,    4.193717,,ppdev: user-space parallel port driver
202,E1125,kernel,Initializing cgroup subsys cpuacct,,    0.000000,,Initializing cgroup subsys <*>
203,E1167,kernel,tsc: Detected 2591.966 MHz processor,,    0.000000,,tsc: Detected <*> MHz processor
204,E1385,kernel,ohci-platform: OHCI generic platform driver,,    0.660930,,ohci-platform: OHCI generic platform driver
205,E1044,dnsmasq  pid: 754,DBus support enabled: connected to system bus,,,,DBus support enabled: connected to system bus
206,E1357,kernel,loop: module loaded,,    0.605301,,loop: module loaded
207,E1034,dbus  pid: 563,Activating via systemd: service name='org.freedesktop.PolicyKit1' unit='polkitd.service',,,system,Activating via systemd: service name=<*> unit=<*>
208,E1585,NetworkManager  pid: 567,DNS: starting dnsmasq...,info,1467290566.8380,,DNS: starting dnsmasq...
209,E1857,systemd-logind  pid: 586,Watching system buttons on /dev/input/event3 (Video Bus),,,,Watching system buttons on /dev/input/event<*> (<*> <*>)
210,E1064,kernel,ACPI: Local APIC address 0xfee00000,,    0.000000,,ACPI: Local APIC address <*>
211,E1105,kernel,Early memory node ranges,,    0.000000,,Early memory node ranges
